poll_timestamp,recorded_at_time,line_ref,vehicle_ref,operator_ref,latitude,longitude,bearing
2026-07-29 09:05:56.291253,2026-07-29 03:20:13,X5,SCCU-10014,SCCU,54.667065,-2.75572,96
2026-07-29 09:05:56.291253,2026-07-29 04:00:51,X5,SCCU-10548,SCCU,54.643574,-3.548556,54
2026-07-29 09:05:56.291253,2026-07-28 18:58:20,300,SCCU-10624,SCCU,0.0,0.0,0
2026-07-29 09:05:56.291253,2026-07-28 22:31:42,300,SCCU-11123,SCCU,54.845909,-3.041166,258
2026-07-29 09:05:56.291253,2026-07-29 01:25:25,X5,SCCU-11124,SCCU,54.642746,-3.545311,0
2026-07-29 09:05:56.291253,2026-07-29 00:01:53,1,SCCU-11633,SCCU,53.760639,-2.695254,342
2026-07-29 09:05:56.291253,2026-07-28 23:09:58,1,SCCU-12211,SCCU,54.050854,-2.800524,0
2026-07-29 09:05:56.291253,2026-07-29 01:11:04,599,SCCU-13801,SCCU,54.330986,-2.744337,78
2026-07-29 09:05:56.291253,2026-07-29 00:30:16,599,SCCU-13802,SCCU,54.329651,-2.74497,174
2026-07-29 09:05:56.291253,2026-07-28 22:23:01,599,SCCU-13803,SCCU,54.331047,-2.743807,66
2026-07-29 09:05:56.291253,2026-07-29 00:41:13,599,SCCU-13806,SCCU,54.330776,-2.745596,72
2026-07-29 09:05:56.291253,2026-07-29 02:23:10,X5,SCCU-15222,SCCU,54.64373,-3.548731,0
2026-07-29 09:05:56.291253,2026-07-28 12:03:24,300,SCCU-15223,SCCU,0.0,0.0,0
2026-07-29 09:05:56.291253,2026-07-28 23:20:49,1,SCCU-15300,SCCU,53.760361,-2.696067,264
2026-07-29 09:05:56.291253,2026-07-28 18:23:46,1,SCCU-15578,SCCU,53.831356,-2.602638,306
2026-07-29 09:05:56.291253,2026-07-28 15:02:04,X5,SCCU-15723,SCCU,54.610222,-3.194064,132
2026-07-29 09:05:56.291253,2026-07-28 23:19:39,1,SCCU-15729,SCCU,54.097408,-3.257873,342
2026-07-29 09:05:56.291253,2026-07-28 23:20:23,X5,SCCU-15849,SCCU,54.642765,-3.545971,282
2026-07-29 09:05:56.291253,2026-07-28 14:00:34,1,SCCU-15854,SCCU,0.0,0.0,0
2026-07-29 09:05:56.291253,2026-07-29 04:21:24,2A,SCCU-15910,SCCU,0.0,0.0,0
2026-07-29 09:05:56.291253,2026-07-28 14:19:32,599,SCCU-19161,SCCU,54.332283,-2.750732,276
2026-07-29 09:05:56.291253,2026-07-28 23:52:47,599,SCCU-19574,SCCU,54.330948,-2.744482,60
2026-07-29 09:05:56.291253,2026-07-29 05:00:44,1,SCCU-27116,SCCU,53.760548,-2.695357,336
2026-07-29 09:05:56.291253,2026-07-29 04:34:35,1,SCCU-27266,SCCU,0.0,0.0,0
2026-07-29 09:05:56.291253,2026-07-29 01:59:41,1,SCCU-27291,SCCU,53.765282,-2.682793,228
2026-07-29 09:05:56.291253,2026-07-29 03:02:14,X5,SCCU-27768,SCCU,54.643581,-3.548491,168
2026-07-29 09:15:17.516091,2026-07-29 09:15:08,300,SCCU-27768,SCCU,54.643784,-3.548716,12
2026-07-29 09:15:39.679614,2026-07-29 09:15:29,300,SCCU-27768,SCCU,54.643795,-3.548661,12
2026-07-29 09:16:02.075117,2026-07-29 09:15:49,300,SCCU-27768,SCCU,54.643688,-3.548561,204
2026-07-29 09:16:24.561051,2026-07-29 09:16:09,300,SCCU-27768,SCCU,54.643414,-3.549387,288
2026-07-29 09:16:46.138348,2026-07-29 09:16:29,300,SCCU-27768,SCCU,54.643879,-3.552153,288
2026-07-29 09:17:08.013307,2026-07-29 09:16:49,300,SCCU-27768,SCCU,54.644531,-3.555002,306
2026-07-29 09:17:29.535611,2026-07-29 09:17:10,300,SCCU-27768,SCCU,54.644928,-3.557544,276
2026-07-29 09:17:51.388999,2026-07-29 09:17:30,300,SCCU-27768,SCCU,54.645969,-3.557657,30
2026-07-29 09:18:14.111785,2026-07-29 09:17:50,300,SCCU-27768,SCCU,54.646133,-3.555486,72
